Gene Name	 Locus Tag (prokka_output)	Locus Tag (K12 reference)	Start of Gene	End of Gene	Strand	UniProt ID	Protein Product
cynR	FJKNNBLA_00300	b0338	331246	330347	-1	P27111	DNA-binding transcriptional dual regulator CynR
cynT	FJKNNBLA_00301	b0339	331355	332014	1	P0ABE9	carbonic anhydrase 1
cynS	FJKNNBLA_00302	b0340	332045	332515	1	P00816	cyanase
cynX	FJKNNBLA_00303	b0341	332521	333702	1	P17583	cyanate transporter
lacA	FJKNNBLA_00304	b0342	334425	333805	-1	P07464	galactoside O-acetyltransferase
lacY	FJKNNBLA_00305	b0343	335735	334482	-1	P02920	lactose permease
lacZ	FJKNNBLA_00306	b0344	338861	335787	-1	P00722	beta-galactosidase
lacI	FJKNNBLA_00307	b0345	340075	338984	-1	P03023	DNA-binding transcriptional repressor LacI
mhpR	FJKNNBLA_00308	b0346	340976	340143	-1	P77569	DNA-binding transcriptional activator MhpR
mhpA	FJKNNBLA_00309	b0347	341167	342831	1	P77397	3-(3-hydroxyphenyl)propanoate hydroxylase
mhpB	FJKNNBLA_00310	b0348	342833	343777	1	P0ABR9	3-carboxyethylcatechol 2,3-dioxygenase
mhpC	FJKNNBLA_00311	b0349	343795	344661	1	P77044	2-hydroxy-6-ketonona-2,4-dienedioate hydrolase
mhpD	FJKNNBLA_00312	b0350	344671	345480	1	P77608	2-hydroxypentadienoate hydratase
mhpF	FJKNNBLA_00313	b0351	345477	346427	1	P77580	acetaldehyde dehydrogenase (acetylating) MhpF
mhpE	FJKNNBLA_00314	b0352	346424	347437	1	P51020	4-hydroxy-2-oxovalerate aldolase
mhpT	FJKNNBLA_00315	b0353	347815	349026	1	P77589	3-hydroxyphenylpropionate/3- hydroxycinnamate:H(+)symporter
yaiL	FJKNNBLA_00316	b0354	349128	349667	1	P51024	DUF2058 domain-containing protein YaiL
frmB	FJKNNBLA_00317	b0355	350726	349893	-1	P51025	S-formylglutathione hydrolase FrmB
frmA	FJKNNBLA_00318	b0356	351928	350819	-1	P25437	S-(hydroxymethyl)glutathione dehydrogenase
frmR	FJKNNBLA_00319	b0357	352238	351963	-1	P0AAP3	DNA-binding transcriptional repressor FrmR
yaiO	FJKNNBLA_00320	b0358	353197	352424	-1	Q47534	outer membrane protein YaiO
tauA	FJKNNBLA_00323	b0365	354140	355102	1	Q47537	taurine ABC transporter periplasmic binding protein
tauB	FJKNNBLA_00324	b0366	355115	355882	1	Q47538	taurine ABC transporter ATP binding subunit
tauC	FJKNNBLA_00325	b0367	355879	356706	1	Q47539	taurine ABC transporter membrane subunit
tauD	FJKNNBLA_00326	b0368	356703	357554	1	P37610	taurine dioxygenase
hemB	FJKNNBLA_00327	b0369	358635	357661	-1	P0ACB2	porphobilinogen synthase
iprA	FJKNNBLA_00329	b0375	362152	362775	1	P0AAP5	putative DNA-binding transcriptional regulator IprA
ampH	FJKNNBLA_00330	b0376	363933	362776	-1	P0AD70	peptidoglycan DD-carboxypeptidase/peptidoglycan DD-endopeptidase
sbmA	FJKNNBLA_00331	b0377	364285	365505	1	P0AFY6	peptide antibiotic/peptide nucleic acid transporter
yaiW	FJKNNBLA_00332	b0378	365518	366612	1	P77562	surface-exposed outer membrane lipoprotein
yaiY	FJKNNBLA_00333	b0379	366979	366671	-1	P0AAP7	DUF2755 domain-containing inner membrane protein YaiY
yaiZ	FJKNNBLA_00334	b0380	367239	367451	1	P0AAQ0	DUF2754 domain-containing protein YaiZ
ddlA	FJKNNBLA_00335	b0381	368569	367475	-1	P0A6J8	D-alanine--D-alanine ligase A
iraP	FJKNNBLA_00336	b0382	369032	369292	1	P0AAN9	anti-adaptor protein for sigma(S) stabilization
phoA	FJKNNBLA_00337	b0383	369393	370808	1	P00634	alkaline phosphatase
psiF	FJKNNBLA_00338	b0384	370927	371247	1	P0AFM4	PsiF family protein
dgcC	FJKNNBLA_00339	b0385	371349	372464	1	P0AAP1	diguanylate cyclase DgcC
proC	FJKNNBLA_00340	b0386	373290	372481	-1	P0A9L8	pyrroline-5-carboxylate reductase
yaiI	FJKNNBLA_00341	b0387	373410	373868	1	P0A8D3	DUF188 domain-containing protein YaiI
aroL	FJKNNBLA_00342	b0388	374051	374575	1	P0A6E1	shikimate kinase 2
yaiA	FJKNNBLA_00343	b0389	374625	374816	1	P0AAN5	protein YaiA
aroM	FJKNNBLA_00344	b0390	375074	375751	1	P0AE28	protein AroM
ppnP	FJKNNBLA_00345	b0391	375823	376107	1	P0C037	nucleoside phosphorylase PpnP
rdgC	FJKNNBLA_00349	b0393	378508	377531	-1	P36767	nucleoid-associated protein RdgC
mak	FJKNNBLA_00350	b0394	378567	379475	1	P23917	fructokinase
araJ	FJKNNBLA_00351	b0396	380988	379720	-1	P23910	putative transport protein AraJ
sbcC	FJKNNBLA_00352	b0397	384176	381030	-1	P13458	ATP dependent,structure specific DNA nuclease - SbcC subunit
sbcD	FJKNNBLA_00353	b0398	385375	384173	-1	P0AG76	ATP dependent,structure specific DNA nuclease - SbcD subunit
phoB	FJKNNBLA_00354	b0399	385565	386254	1	P0AFJ5	DNA-binding transcriptional dual regulator PhoB
phoR	FJKNNBLA_00355	b0400	386312	387607	1	P08400	sensor histidine kinase PhoR
brnQ	FJKNNBLA_00356	b0401	388014	389333	1	P0AD99	branched chain amino acid transporter BrnQ
proY	FJKNNBLA_00357	b0402	389409	390782	1	P0AAE2	putative transporter ProY
malZ	FJKNNBLA_00358	b0403	390938	392755	1	P21517	maltodextrin glucosidase
queA	FJKNNBLA_00360	b0405	393434	394504	1	P0A7F9	tRNA preQ1(34)S-adenosylmethionine ribosyltransferase-isomerase
tgt	FJKNNBLA_00361	b0406	394560	395687	1	P0A847	tRNA-guanine transglycosylase
yajC	FJKNNBLA_00362	b0407	395710	396042	1	P0ADZ7	Sec translocon accessory complex subunit YajC
secD	FJKNNBLA_00363	b0408	396103	397917	1	P0AG90	Sec translocon accessory complex subunit SecD
secF	FJKNNBLA_00364	b0409	397928	398899	1	P0AG93	Sec translocon accessory complex subunit SecF
yajD	FJKNNBLA_00365	b0410	399027	399374	1	P0AAQ2	HNH nuclease family protein YajD
yajI	FJKNNBLA_00367	b0412	401273	400734	-1	P46122	putative lipoprotein YajI
nrdR	FJKNNBLA_00368	b0413	401424	401873	1	P0A8D0	NrdR transcriptional repressor
ribD	FJKNNBLA_00369	b0414	401877	402980	1	P25539	fused diaminohydroxyphosphoribosylaminopyrimidine deaminase/5-amino-6-(5-phosphoribosylamino)uracil reductase
ribE	FJKNNBLA_00370	b0415	403069	403539	1	P61714	6,7-dimethyl-8-ribityllumazine synthase
nusB	FJKNNBLA_00371	b0416	403559	403978	1	P0A780	transcription antitermination protein NusB
thiL	FJKNNBLA_00372	b0417	404056	405033	1	P0AGG0	thiamine monophosphate kinase
pgpA	FJKNNBLA_00373	b0418	405011	405529	1	P18200	phosphatidylglycerophosphatase A
yajO	FJKNNBLA_00374	b0419	406557	405583	-1	P77735	1-deoxyxylulose-5-phosphate synthase YajO
dxs	FJKNNBLA_00375	b0420	408599	406737	-1	P77488	1-deoxy-D-xylulose-5-phosphate synthase
ispA	FJKNNBLA_00376	b0421	409523	408624	-1	P22939	geranyl diphosphate/farnesyl diphosphate synthase
xseB	FJKNNBLA_00377	b0422	409765	409523	-1	P0A8G9	exodeoxyribonuclease VII subunit XseB
thiI	FJKNNBLA_00378	b0423	409971	411419	1	P77718	tRNA uridine 4-sulfurtransferase
yajL	FJKNNBLA_00379	b0424	412063	411473	-1	Q46948	protein/nucleic acid deglycase 3
panE	FJKNNBLA_00380	b0425	412937	412026	-1	P0A9J4	2-dehydropantoate 2-reductase
yajQ	FJKNNBLA_00381	b0426	413105	413596	1	P0A8E7	nucleotide binding protein YajQ
yajR	FJKNNBLA_00382	b0427	415088	413724	-1	P77726	putative transport protein YajR
FJKNNBLA_00383	FJKNNBLA_00383	N/A	415469	416440	1	N/A	['hypothetical protein']
FJKNNBLA_00384	FJKNNBLA_00384	N/A	417038	416496	-1	N/A	['hypothetical protein']
FJKNNBLA_00385	FJKNNBLA_00385	N/A	417333	417022	-1	N/A	['hypothetical protein']
cyoE	FJKNNBLA_00386	b0428	418408	417518	-1	P0AEA5	heme O synthase
cyoD	FJKNNBLA_00387	b0429	418749	418420	-1	P0ABJ6	cytochrome bo3 ubiquinol oxidase subunit 4
cyoC	FJKNNBLA_00388	b0430	419363	418749	-1	P0ABJ3	cytochrome bo3 ubiquinol oxidase subunit 3
cyoB	FJKNNBLA_00389	b0431	421344	419353	-1	P0ABI8	cytochrome bo3 ubiquinol oxidase subunit 1
cyoA	FJKNNBLA_00390	b0432	422313	421366	-1	P0ABJ1	cytochrome bo3 ubiquinol oxidase subunit 2
ampG	FJKNNBLA_00391	b0433	424250	422775	-1	P0AE16	muropeptide:H(+)symporter
yajG	FJKNNBLA_00392	b0434	424872	424294	-1	P0ADA5	putative lipoprotein YajG
bolA	FJKNNBLA_00393	b0435	425180	425494	1	P0ABE2	DNA-binding transcriptional dual regulator BolA
tig	FJKNNBLA_00394	b0436	425838	427136	1	P0A850	trigger factor
clpP	FJKNNBLA_00395	b0437	427382	428005	1	P0A6G7	ATP-dependent Clp protease proteolytic subunit
clpX	FJKNNBLA_00396	b0438	428131	429405	1	P0A6H1	ATP-dependent Clp protease ATP-binding subunit ClpX
lon	FJKNNBLA_00399	b0439	430943	433297	1	P0A9M0	Lon protease
hupB	FJKNNBLA_00400	b0440	433506	433778	1	P0ACF4	DNA-binding protein HU-beta
ppiD	FJKNNBLA_00401	b0441	433970	435841	1	P0ADY1	periplasmic folding chaperone
ybaV	FJKNNBLA_00402	b0442	435992	436363	1	P0AAR8	helix-hairpin-helix 3 family protein
fadM	FJKNNBLA_00403	b0443	436469	436867	1	P77712	long-chain acyl-CoA thioesterase FadM
queC	FJKNNBLA_00404	b0444	437614	436919	-1	P77756	7-cyano-7-deazaguanine synthase
ybaE	FJKNNBLA_00405	b0445	439379	437679	-1	P46890	uncharacterized protein YbaE
cof	FJKNNBLA_00406	b0446	439479	440297	1	P46891	HMP-PP phosphatase
decR	FJKNNBLA_00407	b0447	440450	440908	1	P0ACJ5	DNA-binding transcriptional activator DecR
mdlA	FJKNNBLA_00408	b0448	440938	442710	1	P77265	ABC transporter family protein MdlA
mdlB	FJKNNBLA_00409	b0449	442703	444484	1	P0AAG5	ABC transporter family protein MdlB
glnK	FJKNNBLA_00410	b0450	444665	445003	1	P0AC55	nitrogen regulator GlnK
amtB	FJKNNBLA_00411	b0451	445033	446319	1	P69681	ammonia/ammonium transporter
tesB	FJKNNBLA_00412	b0452	447228	446368	-1	P0AGG2	acyl-CoA thioesterase II
ybaY	FJKNNBLA_00413	b0453	447446	448018	1	P77717	PF09619 family lipoprotein YbaY
atl	FJKNNBLA_00414	b0454	448360	448049	-1	P0AFP2	DNA base-flipping protein
ybaA	FJKNNBLA_00415	b0456	448739	449092	1	P0AAQ6	DUF1428 domain-containing protein YbaA
pdeB	FJKNNBLA_00416	b0457	450684	449134	-1	P77473	c-di-GMP phosphodiesterase PdeB
ylaC	FJKNNBLA_00417	b0458	451318	450848	-1	P0AAS0	putative inner membrane protein
maa	FJKNNBLA_00418	b0459	451985	451434	-1	P77791	maltose O-acetyltransferase
hha	FJKNNBLA_00419	b0460	452375	452157	-1	P0ACE3	hemolysin expression-modulating protein Hha
tomB	FJKNNBLA_00420	b0461	452775	452401	-1	P0AAR0	Hha toxicity modulator TomB
acrB	FJKNNBLA_00421	b0462	456470	453321	-1	P31224	multidrug efflux pump RND permease AcrB
acrA	FJKNNBLA_00422	b0463	457686	456493	-1	P0AE06	multidrug efflux pump membrane fusion lipoprotein AcrA
acrR	FJKNNBLA_00423	b0464	457828	458475	1	P0ACS9	DNA-binding transcriptional repressor AcrR
mscK	FJKNNBLA_00424	b0465	458603	461965	1	P77338	potassium dependent,small conductance mechanosensitive channel
ybaM	FJKNNBLA_00425	b0466	462338	462177	-1	P45807	DUF2496 domain-containing protein YbaM
priC	FJKNNBLA_00426	b0467	462879	462352	-1	P23862	primosomal replication protein N''
ybaN	FJKNNBLA_00427	b0468	462949	463326	1	P0AAR5	DUF454 domain-containing inner membrane protein YbaN
apt	FJKNNBLA_00428	b0469	463479	464030	1	P69503	adenine phosphoribosyltransferase
dnaX	FJKNNBLA_00429	b0470	464159	466090	1	P06710	DNA polymerase III subunit tau
ybaB	FJKNNBLA_00430	b0471	466143	466472	1	P0A8B5	putative nucleoid-associated protein YbaB
recR	FJKNNBLA_00431	b0472	466472	467077	1	P0A7H6	DNA repair protein RecR
htpG	FJKNNBLA_00432	b0473	467187	469061	1	P0A6Z3	chaperone protein HtpG
adk	FJKNNBLA_00433	b0474	469242	469886	1	P69441	adenylate kinase
hemH	FJKNNBLA_00434	b0475	470122	471084	1	P23871	ferrochelatase
aes	FJKNNBLA_00435	b0476	472040	471081	-1	P23872	acetylesterase
gsk	FJKNNBLA_00436	b0477	472192	473496	1	P0AEW6	inosine/guanosine kinase
ybaL	FJKNNBLA_00437	b0478	475305	473629	-1	P39830	putative transporter YbaL
fsr	FJKNNBLA_00438	b0479	476763	475543	-1	P52067	fosmidomycin efflux pump
ushA	FJKNNBLA_00439	b0480	476981	478633	1	P07024	5'-nucleotidase/UDP-sugar hydrolase
ybaK	FJKNNBLA_00440	b0481	479149	478670	-1	P0AAR3	Cys-tRNA(Pro)and Cys-tRNA(Cys) deacylase
ybaP	FJKNNBLA_00441	b0482	480147	479353	-1	P77301	TraB family protein YbaP
ybaQ	FJKNNBLA_00442	b0483	480231	480626	1	P0A9T6	DNA-binding transcriptional regulator YbaQ
copA	FJKNNBLA_00443	b0484	483547	481043	-1	Q59385	Cu(+) exporting P-type ATPase
glsA1	FJKNNBLA_00444	b0485	483809	484741	1	P77454	glutaminase 1
ybaT	FJKNNBLA_00445	b0486	484744	486036	1	P77400	putative transporter YbaT
cueR	FJKNNBLA_00446	b0487	486161	486568	1	P0A9G4	DNA-binding transcriptional dual regulator CueR
ybbJ	FJKNNBLA_00447	b0488	487027	486569	-1	P0AAS3	NfeD-like family protein YbbJ
qmcA	FJKNNBLA_00448	b0489	487941	487024	-1	P0AA53	PHB domain-containing protein QmcA
fetA	FJKNNBLA_00449	b0490	488087	488764	1	P77279	putative iron ABC exporter ATP-binding subunit FetA
fetB	FJKNNBLA_00450	b0491	488751	489530	1	P77307	putative iron ABC exporter membrane subunit FetB
cnoX	FJKNNBLA_00451	b0492	490447	489593	-1	P77395	chaperedoxin
ybbO	FJKNNBLA_00452	b0493	491278	490508	-1	P0AFP4	NADP(+)-dependent aldehyde reductase YbbO
tesA	FJKNNBLA_00453	b0494	491900	491307	-1	P0ADA1	multifunctional acyl-CoA thioesterase I and protease I and lysophospholipase L1
ybbA	FJKNNBLA_00454	b0495	491901	492587	1	P0A9T8	putative ABC transporter ATP-binding protein YbbA
ybbP	FJKNNBLA_00455	b0496	492584	494998	1	P77504	putative ABC transporter membrane subunit YbbP
rhsD	FJKNNBLA_00456	b0497	495428	499708	1	P16919	protein RhsD
ybbC	FJKNNBLA_00457	b0498	499748	500116	1	P33668	PF15631 family protein YbbC
FJKNNBLA_00458	FJKNNBLA_00458	N/A	500116	500826	1	N/A	['hypothetical protein']
FJKNNBLA_00459	FJKNNBLA_00459	N/A	500807	501067	1	N/A	['hypothetical protein']
selU	FJKNNBLA_00461	b0503	503392	502298	-1	P33667	tRNA 2-selenouridine synthase
allS	FJKNNBLA_00462	b0504	504387	503461	-1	P0ACR0	DNA-binding transcriptional activator AllS
allA	FJKNNBLA_00463	b0505	504617	505099	1	P77731	ureidoglycolate lyase
allR	FJKNNBLA_00464	b0506	505177	505992	1	P0ACN4	DNA-binding transcriptional repressor AllR
gcl	FJKNNBLA_00465	b0507	506082	507863	1	P0AEP7	glyoxylate carboligase
hyi	FJKNNBLA_00466	b0508	507876	508652	1	P30147	hydroxypyruvate isomerase
glxR	FJKNNBLA_00467	b0509	508752	509630	1	P77161	tartronate semialdehyde reductase 2
ybbW	FJKNNBLA_00468	b0511	509799	511253	1	P75712	putative allantoin transporter
allB	FJKNNBLA_00469	b0512	511313	512674	1	P77671	allantoinase
ybbY	FJKNNBLA_00470	b0513	512731	514032	1	P77328	putative purine transporter
glxK	FJKNNBLA_00471	b0514	514054	515199	1	P77364	glycerate 2-kinase 2
allE	FJKNNBLA_00472	b0515	516212	515427	-1	P75713	(S)-ureidoglycine aminohydrolase
allC	FJKNNBLA_00473	b0516	517458	516223	-1	P77425	allantoate amidohydrolase
allD	FJKNNBLA_00474	b0517	518529	517480	-1	P77555	ureidoglycolate dehydrogenase
fdrA	FJKNNBLA_00475	b0518	518846	520513	1	Q47208	putative acyl-CoA synthetase FdrA
ylbE	FJKNNBLA_00476	b4572	520523	521782	1	P77129	DUF1116 domain-containing protein YlbE
ylbF	FJKNNBLA_00477	b0520	521793	522608	1	P0AAS5	DUF2877 domain-containing protein YlbF
arcC	FJKNNBLA_00478	b0521	522605	523498	1	P37306	putative carbamate kinase
purK	FJKNNBLA_00479	b0522	524702	523635	-1	P09029	5-(carboxyamino)imidazole ribonucleotide synthase
purE	FJKNNBLA_00480	b0523	525208	524699	-1	P0AG18	N(5)-carboxyaminoimidazole ribonucleotide mutase
lpxH	FJKNNBLA_00481	b0524	526048	525326	-1	P43341	UDP-2,3-diacylglucosamine diphosphatase
ppiB	FJKNNBLA_00482	b0525	526545	526051	-1	P23869	peptidyl-prolyl cis-trans isomerase B
cysS	FJKNNBLA_00483	b0526	526719	528104	1	P21888	cysteine--tRNA ligase
ybcI	FJKNNBLA_00484	b0527	528661	528140	-1	P45570	PF04307 family inner membrane protein YbcI
ybcJ	FJKNNBLA_00485	b0528	528981	528769	-1	P0AAS7	putative RNA-binding protein YbcJ
folD	FJKNNBLA_00486	b0529	529849	528983	-1	P24186	bifunctional methylenetetrahydrofolate dehydrogenase/methenyltetrahydrofolate cyclohydrolase
sfmA	FJKNNBLA_00487	b0530	530320	530862	1	P0ABW5	putative fimbrial protein SfmA
sfmC	FJKNNBLA_00488	b0531	531082	531774	1	P77249	putative fimbrial chaperone SfmC
sfmD	FJKNNBLA_00489	b0532	531805	534414	1	P77468	putative fimbrial usher protein SfmD
sfmH	FJKNNBLA_00490	b0533	534456	535433	1	P75715	putative fimbrial adhesin protein SfmH
sfmF	FJKNNBLA_00491	b0534	535444	535959	1	P38052	putative fimbrial protein SfmF
fimZ	FJKNNBLA_00492	b0535	536594	535962	-1	P0AEL8	putative LuxR family transcriptional regulator FimZ
intD	FJKNNBLA_00494	b0537	538092	536929	-1	P24218	DLP12 prophage;putative integrase
FJKNNBLA_00495	FJKNNBLA_00495	N/A	538569	538291	-1	N/A	['hypothetical protein']
FJKNNBLA_00496	FJKNNBLA_00496	N/A	538835	538617	-1	N/A	['hypothetical protein']
FJKNNBLA_00497	FJKNNBLA_00497	N/A	539149	538934	-1	N/A	['hypothetical protein']
emrE	FJKNNBLA_00500	b0543	540205	540537	1	P23895	DLP12 prophage;multidrug/betaine/choline efflux transporter EmrE
ybcK	FJKNNBLA_00501	b0544	540792	542318	1	P77698	DLP12 prophage;putative recombinase YbcK
ybcL	FJKNNBLA_00502	b0545	542783	543334	1	P77368	DLP12 prophage;periplasmic protein YbcL
ybcM	FJKNNBLA_00503	b0546	543344	544141	1	P77634	DLP12 prophage;putative DNA-binding transcriptional regulator
ybcN	FJKNNBLA_00504	b0547	544356	544811	1	Q47269	DLP12 prophage;DNA base-flipping protein
ninE	FJKNNBLA_00505	b0548	544811	544981	1	Q47270	DLP12 prophage;NinE family prophage protein
ybcO	FJKNNBLA_00506	b0549	544974	545264	1	P68661	DLP12 prophage;putative nuclease YbcO
rusA	FJKNNBLA_00507	b0550	545261	545623	1	P0AG74	DLP12 prophage;crossover junction endodeoxyribonuclease RusA
ylcG	FJKNNBLA_00508	b4509	545623	545760	1	Q47272	DLP12 prophage;uncharacterized protein YlcG
quuD	FJKNNBLA_00509	b0551	545846	546229	1	Q47274	DLP12 prophage;prophage antitermination protein Q QuuD
essD	FJKNNBLA_00514	b0554	548867	549082	1	P0A9R2	DLP12 prophage;putative phage lysis protein
rrrD	FJKNNBLA_00515	b0555	549082	549579	1	P78285	DLP12 prophage;lysozyme
borD	FJKNNBLA_00517	b0557	550362	550069	-1	P77330	DLP12 prophage;prophage lipoprotein BorD
FJKNNBLA_00520	FJKNNBLA_00520	N/A	554716	557061	1	N/A	['hypothetical protein']
FJKNNBLA_00521	FJKNNBLA_00521	N/A	557058	557339	1	N/A	['hypothetical protein']
FJKNNBLA_00522	FJKNNBLA_00522	N/A	557349	558053	1	N/A	['hypothetical protein']
FJKNNBLA_00523	FJKNNBLA_00523	N/A	558064	558357	1	N/A	['hypothetical protein']
appY	FJKNNBLA_00524	b0564	559033	559782	1	P05052	DLP12 prophage;DNA-binding transcriptional activator AppY
ompT	FJKNNBLA_00525	b0565	560984	560031	-1	P09169	DLP12 prophage;protease 7
envY	FJKNNBLA_00526	b0566	562259	561498	-1	P10805	DNA-binding transcriptional activator EnvY
ybcH	FJKNNBLA_00527	b0567	563332	562442	-1	P37325	DUF4434 domain-containing protein YbcH
nfrA	FJKNNBLA_00528	b0568	566305	563333	-1	P31600	bacteriophage N4 outer membrane receptor
FJKNNBLA_00533	FJKNNBLA_00533	N/A	571188	570901	-1	N/A	['hypothetical protein']
FJKNNBLA_00534	FJKNNBLA_00534	N/A	571448	571188	-1	N/A	['hypothetical protein']
rhsA	FJKNNBLA_00535	N/A	571927	571481	-1	P16916	['putative deoxyribonuclease RhsA']
cusS	FJKNNBLA_00537	b0570	575673	574225	-1	P77485	sensor histidine kinase CusS
cusR	FJKNNBLA_00538	b0571	576346	575663	-1	P0ACZ8	DNA-binding transcriptional activator CusR
cusC	FJKNNBLA_00539	b0572	576503	577876	1	P77211	copper/silver export system outer membrane channel
cusF	FJKNNBLA_00540	b0573	578034	578366	1	P77214	copper/silver export system periplasmic binding protein
cusB	FJKNNBLA_00541	b0574	578382	579605	1	P77239	copper/silver export system membrane fusion protein
cusA	FJKNNBLA_00542	b0575	579617	582760	1	P38054	copper/silver export system RND permease
pheP	FJKNNBLA_00543	b0576	582862	584238	1	P24207	phenylalanine:H(+)symporter PheP
ybdG	FJKNNBLA_00544	b0577	585553	584306	-1	P0AAT4	miniconductance mechanosensitive channel YbdG
nfsB	FJKNNBLA_00545	b0578	586314	585661	-1	P38489	NAD(P)H nitroreductase NfsB
ybdF	FJKNNBLA_00546	b0579	586776	586408	-1	P0AAT2	PF04237 family protein YbdF
ybdJ	FJKNNBLA_00547	b0580	587089	586841	-1	P77506	DUF1158 domain-containing protein YbdJ
ybdK	FJKNNBLA_00548	b0581	588273	587155	-1	P77213	carboxylate-amine ligase
hokE	FJKNNBLA_00553	b4415	590543	590695	1	P77091	protein HokE
entD	FJKNNBLA_00556	b0583	592909	592166	-1	P19925	phosphopantetheinyl transferase EntD
fepA	FJKNNBLA_00557	b0584	595201	592961	-1	P05825	ferric enterobactin outer membrane transporter
fes	FJKNNBLA_00558	b0585	595445	596647	1	P13039	ferric enterobactin esterase
ybdZ	FJKNNBLA_00559	b4511	596650	596868	1	P18393	enterobactin biosynthesis protein YbdZ
entF	FJKNNBLA_00560	b0586	596865	600746	1	P11454	apo-serine activating enzyme
fepE	FJKNNBLA_00561	b0587	600962	602095	1	P26266	polysaccharide co-polymerase family protein FepE
fepC	FJKNNBLA_00562	b0588	602907	602092	-1	P23878	ferric enterobactin ABC transporter ATP binding subunit
fepG	FJKNNBLA_00563	b0589	603896	602904	-1	P23877	ferric enterobactin ABC transporter membrane subunit FepG
fepD	FJKNNBLA_00564	b0590	604897	603893	-1	P23876	ferric enterobactin ABC transporter membrane subunit FebD
entS	FJKNNBLA_00565	b0591	605008	606258	1	P24077	enterobactin exporter EntS
fepB	FJKNNBLA_00566	b0592	607218	606262	-1	P0AEL6	ferric enterobactin ABC transporter periplasmic binding protein
entC	FJKNNBLA_00567	b0593	607593	608768	1	P0AEJ2	isochorismate synthase EntC
entE	FJKNNBLA_00568	b0594	608778	610388	1	P10378	2,3-dihydroxybenzoate-AMP ligase
entB	FJKNNBLA_00569	b0595	610402	611259	1	P0ADI4	enterobactin synthase component B
entA	FJKNNBLA_00570	b0596	611259	612005	1	P15047	2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase
entH	FJKNNBLA_00571	b0597	612008	612421	1	P0A8Y8	proofreading thioesterase in enterobactin biosynthesis
ybdD	FJKNNBLA_00574	b4512	614879	615076	1	P0AAS9	PF04328 family protein YbdD
hcxA	FJKNNBLA_00575	b0599	616174	615086	-1	P45579	hydroxycarboxylate dehydrogenase A
ybdL	FJKNNBLA_00576	b0600	616283	617443	1	P77806	methionine transaminase
ybdM	FJKNNBLA_00577	b0601	618073	617444	-1	P77174	ParB-like nuclease domain-containing protein YbdM
dsbG	FJKNNBLA_00581	b0604	620624	619863	-1	P77202	protein sulfenic acid reductase and chaperone DsbG
ahpC	FJKNNBLA_00582	b0605	620996	621559	1	P0AE08	alkyl hydroperoxide reductase, AhpC component
ahpF	FJKNNBLA_00583	b0606	621774	623369	1	P35340	alkyl hydroperoxide reductase, AhpF component
uspG	FJKNNBLA_00584	b0607	623918	623490	-1	P39177	universal stress protein G
ybdR	FJKNNBLA_00585	b0608	624139	625377	1	P77316	putative Zn(2(+))-dependent alcohol dehydrogenase YbdR
rnk	FJKNNBLA_00587	b0610	626018	625608	-1	P0AFW4	nucleoside diphosphate kinase regulator
rna	FJKNNBLA_00588	b0611	627054	626248	-1	P21338	RNase I
